Counter,Location,Experiment,Site,Block,PID,Paired_PID,Species,Treatment,Lat_Deg,Lon_Deg,Date_01,Days_01,Diam_mm_01,Height_cm_01,DBH_01,Canopy_length_cm_01,Canopy_width_cm_01,Ground_cover_percent_01,Notes_01,Dead_01,Use_growth_01,Date_02,Days_02,Diam_mm_02,Height_cm_02,DBH_02,Canopy_length_cm_02,Canopy_width_cm_02,Ground_cover_percent_02,Notes_02,Dead_02,Use_growth_02,Date_03,Days_03,Diam_mm_03,Height_cm_03,DBH_03,Canopy_length_cm_03,Canopy_width_cm_03,Ground_cover_percent_03,Notes_03,Dead_03,Use_growth_03,Date_03_5,Days_03_5,foliar_N_mg_g_03_5,foliar_C_mg_g_03_5,Date_04,Days_04,Diam_mm_04,Height_cm_04,DBH_04,Canopy_length_cm_04,Canopy_width_cm_04,Ground_cover_percent_04,Notes_04,Dead_04,Use_growth_04,foliar_N_mg_g_04,foliar_C_mg_g_04,foliar_15N_AP_04,foliar_d15N_04,foliar_d13C_04,disk_d15N_04,Date_05,Days_05,Diam_mm_05,Height_cm_05,DBH_05,Canopy_length_cm_05,Canopy_width_cm_05,Ground_cover_percent_05,Notes_05,Dead_05,Use_growth_05,Date_06,Days_06,Diam_mm_06,Height_cm_06,DBH_06,Canopy_length_cm_06,Canopy_width_cm_06,Ground_cover_percent_06,Notes_06,Dead_06,Use_growth_06,foliar_N_mg_g_06,foliar_C_mg_g_06,foliar_15N_AP_06,foliar_d15N_06,foliar_d13C_06,Aboveground_harvest_date_06,Harvest_notes_06,Main_stem_g_dry_06,Twigs_g_dry_06,Leaves_g_dry_06,Secondary_stems_g_dry_06,Fruit_g_dry_06,Dead_g_dry_06,Aboveground_mass_g_dry_06,Aboveground_mass_g_wet_06,Root_g_dry_06,Use_allometry_06,Allometry_use_notes_06,AGB_est_kg_01,AGB_est_kg_02,AGB_est_kg_03,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_06
27,HI,FX,Waiakea,9,230,232,CAEQ,MN,19.644323,-155.083672,1/17/16,0,1.9,30,NA,NA,NA,NA,,0,1,7/11/16,176,13.4,171.45,NA,NA,NA,NA,,0,1,6/25/17,525,57.5,288,NA,190,205,90,"leaning a lot, may have been one meter taller day before. Measurement error is possible but unlikely (we didn't request ny height redos for trees under 325cm)",0,1,1/1/18,NA,19.8,497.8,6/22/18,887,100,350,NA,320,295,NA,,0,1,17.19759195,502.7422357,0.37559,25.5,-31.55,NA,1/14/19,1093,98.27003612,468,NA,370,360,NA,Diameter decreases but picks back up next time,0,1,7/16/19,1276,139.7,510,NA,448,466,NA,,0,1,15.8358559,470.3248798,0.36792,4.42,-31.54,7/16/19,Not harvested; No 15N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.001630268,0.1431072,1.861043196,5.560775586,7.349846676,13.81410325
28,HI,FX,Waiakea,1,140,142,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,2.8,49.53,NA,NA,NA,NA,,0,1,7/11/16,44,3.3,55.88,NA,NA,NA,NA,,0,1,6/25/17,393,14.5,112,NA,77,79,95,,0,1,1/1/18,NA,14.5,488.6,6/22/18,755,27,223,NA,147,175,NA,,0,1,23.59552771,494.8099782,1.36393,2761.2,-30.21,NA,1/14/19,961,39,324,NA,58,235,NA,,0,1,7/16/19,1144,53.7,410,NA,290,298,NA,,0,1,19.28841927,480.2708494,0.8738,1397.67,-29.19,7/16/19,Average wet:dry ratio for CAEQ used for dead dry weight; also adding in leaf subsample from July 2019 Harvest datasheet,979.2,888.3,678.6,614.3,NA,5.7,3166.06651,5955,NA,1,,0.004482087,0.006397406,0.106202746,0.565678702,0.853240126,2.849197081
29,HI,FX,Waiakea,2,152,154,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,2.4,45.72,NA,NA,NA,NA,,0,1,7/11/16,44,3,48.26,NA,NA,NA,NA,,0,1,6/25/17,393,15.5,89,NA,94,91,92.5,,0,1,1/1/18,NA,17.5,484.6,6/22/18,755,50,295,NA,292,287,NA,,0,1,14.21048614,490.1072322,0.94707,1600.6,-31.04,NA,1/14/19,961,55,400,NA,445,445,NA,,0,1,7/16/19,1144,73.15,480,NA,620,510,NA,,0,1,17.77287945,483.8633967,0.79681,1184.73,-30.71,7/16/19,"No secondary stem recorded, but tree would have had secondary stem (not marked as intensively sampled; maybe secondary stem was included with main stem weight?)",5469.2,1318.4,1547.7,0,NA,NA,8335.264799,14997,NA,0,See harvest notes; wet:dry outlier and probably no secondary stems,0.003295346,0.004897885,0.114070227,2.136390468,3.942587095,7.302902456
30,HI,FX,Waiakea,3,164,166,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,3.7,78.74,NA,NA,NA,NA,,0,1,7/11/16,44,7.2,91.44,NA,NA,NA,NA,,0,1,6/25/17,393,23,174,NA,85,78,100,crispy on top,0.5,1,1/1/18,NA,21.4,498.5,6/22/18,755,65,280,NA,279,155,NA,,0,1,19.55950074,502.9780369,1.37975,2805.4,-30.15,NA,1/14/19,961,55,312,NA,215,307,NA,Diameter decreases but picks back up next time,0,1,7/16/19,1144,84.9,310,NA,344,354,NA,,0,1,14.22445682,482.569158,0.69412,901.18,-28.43,7/16/19,Aboveground wet weight 7.36 kg,NA,NA,NA,NA,NA,NA,3640.5826,7360,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.010061781,0.032516677,0.243712898,2.197887892,2.256773674,4.704556864
31,HI,FX,Waiakea,4,176,178,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,4.7,76.2,NA,NA,NA,NA,,0,1,7/11/16,44,6.7,88.9,NA,NA,NA,NA,,0,1,6/25/17,393,35,258,NA,103,48,95,,0,1,1/1/18,NA,NA,NA,6/22/18,755,61,390,NA,130,97,NA,,0,1,24.69378991,485.8136461,1.40326,2871.2,-30.42,NA,1/14/19,961,55,430,NA,169,120,NA,Diameter decreases but picks back up next time,0,1,7/16/19,1144,78.65,430,NA,267,203,NA,,0,1,23.94398715,475.1143208,0.87769,1408.44,-30.18,7/16/19,Aboveground wet weight 6.5 kg,NA,NA,NA,NA,NA,NA,3209.807,6500,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.01432097,0.028372822,0.44955197,1.559794244,1.748604025,3.844857882
32,HI,FX,Waiakea,5,188,190,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,2.1,66.04,NA,NA,NA,NA,,0,1,7/11/16,44,4.1,78.74,NA,NA,NA,NA,,0,1,6/25/17,393,25.5,217,NA,81,64,100,leaning and scraggly but tall,0,1,1/1/18,NA,20.9,483.7,6/22/18,755,53,290,NA,381,183,NA,,0,1,16.97156062,495.1121502,0.89151,1446.7,-30.9,NA,1/14/19,961,62,325,NA,510,485,NA,,0,1,7/16/19,1144,85.55,340,NA,510,612,NA,,0,1,15.48948736,484.8037294,0.62295,705.04,-30.56,7/16/19,Aboveground wet weight 8.46 kg,NA,NA,NA,NA,NA,NA,4192.5569,8460,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.00356883,0.011838456,0.285378144,2.113410372,4.366843652,7.133879291
33,HI,FX,Waiakea,6,200,202,CAEQ,PHN,19.644323,-155.083672,1/17/16,0,1.7,25.5,NA,NA,NA,NA,,0,1,7/11/16,176,10.4,102.87,NA,NA,NA,NA,,0,1,6/25/17,525,38,318,NA,196,162,95,,0,1,1/1/18,NA,23.3,486.1,6/22/18,887,74,540,NA,401,422,NA,,0,1,22.74015797,494.8276477,0.88941,1440.9,-29.55,NA,1/14/19,1093,77.30459236,704,NA,515,540,NA,,0,1,7/16/19,1276,93.9,830,NA,565,560,NA,,0,1,20.15636417,474.3506843,0.6308,726.66,-29.39,7/16/19,,8066.1,3388.8,1404.1,2673.4,NA,NA,15532.46029,29211,NA,1,,0.001201822,0.06391367,1.124522255,6.272098038,9.291093783,13.48635099
34,HI,FX,Waiakea,7,212,214,CAEQ,PHN,19.644323,-155.083672,1/17/16,0,1.8,36,NA,NA,NA,NA,,0,1,7/11/16,176,12.3,186.69,NA,NA,NA,NA,,0,1,6/25/17,525,53.5,455,NA,99,96,95,,0,1,1/1/18,NA,NA,NA,6/22/18,887,99.60923652,560,NA,246,213,NA,,0,1,14.15963109,483.0656733,0.89813,1465,-29.86,NA,1/14/19,1093,94,690,NA,305,255,NA,Diameter decreases,0,1,7/16/19,1276,108.8,690,NA,326,314,NA,Height plateaus,0,1,13.97966436,465.7371161,0.67162,839.14,-29.92,7/16/19,"No secondary stem recorded, but tree would have had secondary stem (not marked as intensively sampled)",4263.7,1193.5,1262.3,0,NA,NA,6719.52946,16039,NA,0,See harvest notes; wet:dry outlier and probably no secondary stems,0.001728929,0.133667951,1.316566014,5.84401696,7.156594259,9.415923956
35,HI,FX,Waiakea,8,224,226,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,4.3,72.39,NA,NA,NA,NA,,0,1,7/11/16,44,4.9,76.2,NA,NA,NA,NA,,0,1,6/25/17,393,52.5,400,NA,345,265,90,,0,1,1/1/18,NA,25,483.7,6/22/18,755,87,380,NA,373,300,NA,Height decreases,0,1,22.0292324,486.1187894,0.73343,1009.6,-29.66,NA,1/14/19,961,99.49874371,540,NA,425,520,NA,,0,1,7/16/19,1144,143.15,730,NA,437,439,NA,,0,1,17.03237819,462.5760495,0.56774,553.06,-29.51,7/16/19,,3713.5,2590.1,8852.5,2844.4,NA,NA,18000.62561,34347,NA,1,,0.011943682,0.015298219,2.793349268,5.283711985,9.806888404,16.9886063
36,HI,FX,Waiakea,9,236,238,CAEQ,PHN,19.644323,-155.083672,5/28/16,0,6.4,87.63,NA,NA,NA,NA,,0,1,7/11/16,44,7,91.44,NA,NA,NA,NA,,0,1,6/25/17,393,24,158,NA,112,50,75,,0,1,1/1/18,NA,NA,NA,6/22/18,755,55,300,NA,196,191,NA,,0,1,22.1486898,496.0316633,1.34089,2696.8,-28.07,NA,1/14/19,961,63.16644679,340,NA,320,270,NA,,0,1,7/16/19,1144,82.15,350,NA,382,234,NA,,0,1,17.17782212,478.8766782,0.66719,826.94,-28.75,7/16/19,Aboveground wet weight 10.5 kg,NA,NA,NA,NA,NA,NA,5218.7046,10500,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.026087886,0.031097553,0.2272324,1.782646055,3.08785214,4.327430295
37,HI,FX,Waiakea,1,138,139,GLSE,HN,19.644323,-155.083672,5/28/16,0,8,14.605,NA,NA,NA,NA,,0,1,7/11/16,44,7.8,20.32,NA,NA,NA,NA,,0,1,6/25/17,393,30,72,NA,109,74,100,,0,1,1/1/18,NA,45.2,448.9,6/22/18,755,32,110,NA,216,241,NA,Diameter and height plateau,0,1,45.87237357,463.109883,0.59776,635.7,-27.58,NA,1/14/19,961,48.18713521,168,NA,318,213,NA,,0,1,7/16/19,1144,55.45,219,NA,299,309,NA,,0,1,31.04439592,446.2007958,0.64586,768.15,-26.95,7/16/19,,997.8,37.2,281.6,0,NA,NA,1316.620885,3108,NA,1,,0.001118883,0.001337378,0.094060499,0.47624032,1.244363595,2.268200619
38,HI,FX,Waiakea,2,150,151,GLSE,HN,19.644323,-155.083672,6/16/16,0,5.35,18.415,NA,NA,NA,NA,,0,1,7/11/16,25,5.4,17.78,NA,NA,NA,NA,,0,1,6/25/17,374,10.5,31,NA,11,10,100,tiny,0.5,0,1/1/18,NA,NA,NA,6/22/18,736,10,35,NA,23,18,NA,Tiny and not really growing,0,0,72.00034385,474.4131985,2.02671,4626.6,-27.05,NA,1/14/19,942,13,32,NA,15,12,NA,Tiny and not really growing,0,0,7/16/19,1125,10.05,24,NA,20,20,NA,Tiny and not really growing,0,0,47.63677963,448.5612441,0.71345,954.5,-27.49,7/16/19,Aboveground wet weight 0.009 kg,NA,NA,NA,NA,NA,NA,3.395265,9,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000420341,0.000420353,0.002709901,0.005277415,0.003845743,0.004678547
39,HI,FX,Waiakea,3,162,163,GLSE,HN,19.644323,-155.083672,5/28/16,0,5.7,17.145,NA,NA,NA,NA,,0,1,7/11/16,44,5.5,19.05,NA,NA,NA,NA,,0,1,6/25/17,393,10.5,49,NA,46,30,87.5,,0,0,1/1/18,NA,38.5,465.4,6/22/18,755,15,38,NA,61,56,NA,Height decreases,0,0,36.11304119,463.1980519,0.75281,1063.2,-28.18,NA,1/14/19,961,17,70,NA,84,71,NA,Tiny and not really growing,0,0,7/16/19,1144,24.15,86,NA,65,86,NA,Canopy area decreases; tiny and not really growing,0,0,35.27084367,455.138962,0.51713,413.89,-27.99,7/16/19,Leaf and twig dry mass not from harvest spreadsheet; must have been from average leaf and twig ratios,24,2.1,16.5,0,NA,NA,42.5625,NA,NA,0.6,"0.6 means use for allometry, but not for wet:dry because there aren't wet mass data for twigs and leaves",0.00047756,0.000466956,0.011269243,0.022075918,0.044738615,0.064969151
40,HI,FX,Waiakea,4,174,175,GLSE,HN,19.644323,-155.083672,5/28/16,0,6.8,10.795,NA,NA,NA,NA,,0,1,7/11/16,44,6.9,13.335,NA,NA,NA,NA,,0,1,6/25/17,393,14,22,NA,22,18,77.5,,0,0,1/1/18,NA,40.9,473.2,6/22/18,755,19,32,NA,43,46,NA,,0,0,36.63318157,474.7465202,0.922,1531.2,-29.6,NA,1/14/19,961,18,36,NA,75,25,NA,Diameter and canopy area decrease,0,0,7/16/19,1144,19.35,38,NA,52,70,NA,,0,0,29.84695729,441.3737299,0.71989,972.28,-30.42,7/16/19,Aboveground wet weight 0.083 kg,NA,NA,NA,NA,NA,NA,31.447134,83,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.000557592,0.000682798,0.005472623,0.018279514,0.017788754,0.028421489
41,HI,FX,Waiakea,5,186,187,GLSE,HN,19.644323,-155.083672,1/17/16,0,8.35,30,NA,NA,NA,NA,,0,1,7/11/16,176,12.2,50.8,NA,NA,NA,NA,,0,1,6/25/17,525,27.5,63,NA,194,116,95,,0,1,1/1/18,NA,36.3,478.1,6/22/18,887,37,84,NA,287,206,NA,,0,1,34.94455606,466.8406961,0.85693,1351,-27.72,NA,1/14/19,1093,41,139,NA,295,305,NA,,0,1,7/16/19,1276,45,150,NA,293,377,NA,,0,1,26.85072703,455.4287063,0.45834,252.41,-27.91,7/16/19,Largest root system dug up in Hawaii; long lateral root going out >6.5 m from plant (see photo),1354.7,111.4,425.7,0,NA,NA,1891.820455,5040,1640.1,1,,0.00218705,0.00969603,0.161639037,0.529108939,1.129430329,1.570964159
42,HI,FX,Waiakea,6,198,199,GLSE,HN,19.644323,-155.083672,5/28/16,0,5.5,12.065,NA,NA,NA,NA,,0,1,7/11/16,44,6.8,21.59,NA,NA,NA,NA,,0,1,6/25/17,393,32.5,91,NA,132,117,85,,0,1,1/1/18,NA,39.1,437.7,6/22/18,755,45.82575695,63,NA,224,272,NA,Height decreases and diameter slows,0,1,38.11307934,452.5266692,0.58248,593.6,-27.78,NA,1/14/19,961,37.94733192,148,NA,230,257,NA,Diameter  decreases but height increases,0,1,7/16/19,1144,59.65,161,NA,271,295,NA,,0,1,33.18839851,437.946755,0.4261,163.93,-28.63,7/16/19,Aboveground wet weight 5.38 kg,NA,NA,NA,NA,NA,NA,2054.943788,5380,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.00032996,0.000944459,0.181047284,0.589289753,0.77075466,1.812728838
43,HI,FX,Waiakea,7,210,211,GLSE,HN,19.644323,-155.083672,6/16/16,0,11.9,25.4,NA,NA,NA,NA,Slight decrease in size to next time step,0,0,7/11/16,25,9.7,24.13,NA,NA,NA,NA,,0,1,6/25/17,374,20.5,52,NA,110,80,82.5,,0,1,1/1/18,NA,37.3,450.9,6/22/18,736,29,54,NA,155,137,NA,,0,1,34.20618939,471.3040548,1.09951,2023.9,-28.46,NA,1/14/19,942,32.75667871,75,NA,190,170,NA,,0,1,7/16/19,1125,42.25,62,NA,232,265,NA,,0,1,35.3724254,452.6151537,0.55957,530.6,-26.56,7/16/19,Aboveground wet weight 1.44 kg,NA,NA,NA,NA,NA,NA,548.617522,1440,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.005329424,0.00284999,0.058992871,0.151471797,0.277777603,0.531789061
44,HI,FX,Waiakea,8,222,223,GLSE,HN,19.644323,-155.083672,1/17/16,0,4.2,12,NA,NA,NA,NA,,0,1,7/11/16,176,7.5,28.575,NA,NA,NA,NA,,0,1,6/25/17,525,19.5,68,NA,137,124,90,,0,1,1/1/18,NA,46.8,479.3,6/22/18,887,28,90,NA,140,178,NA,,0,1,35.45057927,475.7140333,0.67189,839.9,-27.96,NA,1/14/19,1093,32.40370349,98,NA,170,183,NA,,0,1,7/16/19,1276,33.1,78,NA,193,189,NA,"Height decreases quite a bit, diameter plateaus",0,1,36.13421219,453.0758993,0.68598,878.72,-27.14,7/16/19,,334.3,49.5,115.4,0,NA,NA,499.2333333,1557,NA,1,,0.000151499,0.001548514,0.096930288,0.215084483,0.311027212,0.31336931
45,HI,FX,Waiakea,9,234,235,GLSE,HN,19.644323,-155.083672,5/28/16,0,7.2,19.685,NA,NA,NA,NA,,0,1,7/11/16,44,8.9,25.4,NA,NA,NA,NA,,0,1,6/25/17,393,24.5,72,NA,107,91,85,,0,1,1/1/18,NA,30.3,463.6,6/22/18,755,29,112,NA,79,76,NA,,0,1,31.39903915,472.5306471,0.36822,5.3,-29.28,NA,1/14/19,961,31.30495168,140,NA,118,119,NA,,0,1,7/16/19,1144,32.8,135,NA,171,167,NA,,0,1,29.2657958,460.7322441,0.36708,2.13,-29.21,7/16/19,Not harvested; No 15N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.00103743,0.002314437,0.087807008,0.091070664,0.203135985,0.354876225
46,HI,FX,Waiakea,1,132,133,GLSE,LN,19.644323,-155.083672,6/16/16,0,7.4,25.4,NA,NA,NA,NA,Slight decrease in size to next time step,0,0,7/11/16,25,6.9,22.86,NA,NA,NA,NA,,0,1,6/25/17,374,19.5,70,NA,84,38,90,,0,1,1/1/18,NA,31.4,450.5,6/22/18,736,29,130,NA,150,74,NA,,0,1,29.26919598,461.346151,0.44881,226.3,-27.66,NA,1/14/19,942,34,172,NA,158,130,NA,,0,1,7/16/19,1125,50.4,146,NA,315,213,NA,,0,1,30.12371105,460.367461,0.44683,220.83,-27.42,7/16/19,,829.3,115.8,180.4,0,NA,NA,1125.515014,2137,NA,1,,0.001362343,0.001028633,0.034163523,0.152351228,0.329024552,1.196844965
47,HI,FX,Waiakea,2,144,145,GLSE,LN,19.644323,-155.083672,5/28/16,0,6.9,20.32,NA,NA,NA,NA,,0,1,7/11/16,44,7,22.86,NA,NA,NA,NA,,0,1,6/25/17,393,11,22,NA,30,15,90,dead height:33 apical meristem dead unhappy plant,0.5,0,1/1/18,NA,NA,NA,6/22/18,755,15,25,NA,25,13,NA,"Seems to recover here, but declines later",0,0,34.71039084,448.8549733,0.82826,1271.7,-29.55,NA,1/14/19,961,13,32,NA,22,17,NA,Diameter decreases,0,0,7/16/19,1144,10.8,35,NA,28,26,NA,Diameter decreases,0,0,35.23322078,447.0933934,0.4281,169.43,-28.28,7/16/19,Leaf and twig dry mass not from harvest spreadsheet; must have been from average leaf and twig ratios,2.6,0.5,6.7,0,NA,NA,9.848947121,NA,NA,0.6,"0.6 means use for allometry, but not for wet:dry because there aren't wet mass data for twigs and leaves",0.000940525,0.00107202,0.005083541,0.005309379,0.005658172,0.007349559
48,HI,FX,Waiakea,3,156,157,GLSE,LN,19.644323,-155.083672,1/17/16,0,7.9,24,NA,NA,NA,NA,,0,0,7/11/16,176,10.2,11.43,NA,NA,NA,NA,"Diameter and height and canopy area all bounce around, and this one stays really small",0,0,6/25/17,525,18,28,NA,33,14,60,"few other plants, rocky soil",0,0,1/1/18,NA,NA,NA,6/22/18,887,22,22,NA,33,30,NA,"Diameter and height and canopy area all bounce around, and this one stays really small",0,0,26.56673313,459.1224926,0.7322,1006.2,-27.29,NA,1/14/19,1093,20,45,NA,30,32,NA,"Diameter and height and canopy area all bounce around, and this one stays really small",0,0,7/16/19,1276,23.6,32,NA,29,33,NA,"Diameter and height and canopy area all bounce around, and this one stays really small",0,0,21.15413499,440.0009028,0.89349,1452.19,-27.12,7/16/19,Aboveground wet weight 0.029 kg,NA,NA,NA,NA,NA,NA,10.965161,29,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.001574339,0.001865523,0.007352355,0.011917145,0.013988164,0.0139149
49,HI,FX,Waiakea,4,168,169,GLSE,LN,19.644323,-155.083672,5/28/16,0,6.7,21.59,NA,NA,NA,NA,,0,1,7/11/16,44,6.8,25.4,NA,NA,NA,NA,,0,1,6/25/17,393,14,44,NA,35,26,95,,0,1,1/1/18,NA,NA,NA,6/22/18,755,23,60,NA,66,51,NA,,0,1,29.34800943,440.0192453,0.51041,395.4,-27.55,NA,1/14/19,961,25,74,NA,70,85,NA,,0,1,7/16/19,1144,28,80,NA,170,114,NA,,0,1,27.21290022,445.1043156,0.47492,297.92,-28.7,7/16/19,,80,19.7,59.4,0,NA,NA,159.06,555,NA,1,,0.000905125,0.001068672,0.010580919,0.038050417,0.065287776,0.169451512
50,HI,FX,Waiakea,5,180,181,GLSE,LN,19.644323,-155.083672,6/16/16,0,6.1,18.415,NA,NA,NA,NA,,0,0,7/11/16,25,5.5,17.78,NA,NA,NA,NA,Dies later,0,0,6/25/17,374,14,33,NA,24,15,90,,0,0,1/1/18,NA,NA,NA,6/22/18,736,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,1/14/19,942,NA,NA,NA,NA,NA,NA,,1,0,7/16/19,1125,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,7/16/19,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.000612628,0.000443094,0.005824285,NA,NA,NA
51,HI,FX,Waiakea,6,192,193,GLSE,LN,19.644323,-155.083672,6/16/16,0,8.75,19.05,NA,NA,NA,NA,Growth declines to time 2,0,0,7/11/16,25,6.6,17.78,NA,NA,NA,NA,,0,1,6/25/17,374,20,46,NA,96,59,55,,0,1,1/1/18,NA,27.8,427.8,6/22/18,736,27,65,NA,150,102,NA,,0,1,34.45692076,467.1746564,0.43666,192.9,-27.43,NA,1/14/19,942,38,115,NA,153,171,NA,,0,1,7/16/19,1125,47.05,128,NA,233,196,NA,,0,1,32.97385261,460.6060275,0.38049,38.87,-27.02,7/16/19,Aboveground wet weight 2.18 kg,NA,NA,NA,NA,NA,NA,831.214396,2180,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.3756471*wet^1.00194; This came from regressing log(dry) on log(wet) from the GS trees where we had both; the R^2 was 0.9947, so not worrying about error propagation; did this because we only had wet mass",0.001771174,0.00074791,0.041508825,0.124404836,0.358205497,0.748190065
52,HI,FX,Waiakea,7,204,205,GLSE,LN,19.644323,-155.083672,5/28/16,0,6.7,17.78,NA,NA,NA,NA,,0,1,7/11/16,44,7.5,26.67,NA,NA,NA,NA,,0,1,6/25/17,393,15,102,NA,71,45,62.5,,0,1,1/1/18,NA,29.4,436.3,6/22/18,755,17,30,NA,36,33,NA,"Height drops a lot, diameter plateaus",0,0,26.56984957,460.6812703,0.95307,1617.3,-28.66,NA,1/14/19,961,16,27,NA,40,22,NA,27 cm height of green branch; 77 height of non-green stem; diameter drops,0,0,7/16/19,1144,16.4,30,NA,35,23,NA,,0,0,26.29389216,417.4432505,0.70161,921.83,-28.03,7/16/19,Leaf and twig dry mass not from harvest spreadsheet; must have been from average leaf and twig ratios,9.6,0.8,3,0,NA,NA,13.4,NA,19.9,0.6,"0.6 means use for allometry, but not for wet:dry because there aren't wet mass data for twigs and leaves",0.000780911,0.001469382,0.032130223,0.012303402,0.009646774,0.009667591
53,HI,FX,Waiakea,8,216,217,GLSE,LN,19.644323,-155.083672,5/28/16,0,5.8,17.145,NA,NA,NA,NA,,0,1,7/11/16,44,6.1,20.32,NA,NA,NA,NA,,0,1,6/25/17,393,12,56,NA,66,32,70,,0,0,1/1/18,NA,NA,NA,6/22/18,755,17,29,NA,84,28,NA,"Height drops a lot, diameter plateaus",0,0,23.59069304,428.9047764,0.75825,1078.2,-30.22,NA,1/14/19,961,17,27,NA,115,20,NA,,0,0,7/16/19,1144,14.4,32,NA,64,38,NA,,0,0,23.65881694,414.2357092,0.43601,191.14,-29.98,7/16/19,Leaf and twig dry mass not from harvest spreadsheet; must have been from average leaf and twig ratios,7.5,1.5,6.4,0,NA,NA,15.40535018,NA,17.6,0.6,"0.6 means use for allometry, but not for wet:dry because there aren't wet mass data for twigs and leaves",0.000502013,0.000660238,0.016498045,0.017782926,0.017072547,0.016501698
54,HI,FX,Waiakea,9,228,229,GLSE,LN,19.644323,-155.083672,1/17/16,0,8.5,12,NA,NA,NA,NA,,0,1,7/11/16,176,20.4,144.78,NA,NA,NA,NA,,0,1,6/25/17,525,46,171,NA,314,134,90,"dead ht 254. long, dead apical meristem",0.5,1,1/1/18,NA,39.6,454.5,6/22/18,887,74.21590126,190,NA,493,432,NA,,0,1,36.70082642,460.6534787,0.36748,3.2,-30.26,NA,1/14/19,1093,86.22064718,320,NA,470,450,NA,,0,1,7/16/19,1276,77.2,420,NA,590,595,NA,Diameter drops but height and canopy area go up,0,1,38.65163439,454.3557914,0.36798,4.6,-28.53,7/16/19,Not harvested; No 15N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.001146874,0.094076173,0.809744635,6.242116306,10.96842538,18.22123466
55,HI,FX,Waiakea,1,135,136,GLSE,MN,19.644323,-155.083672,6/16/16,0,5.35,21.59,NA,NA,NA,NA,,0,1,7/11/16,25,6,22.86,NA,NA,NA,NA,,0,1,6/25/17,374,19.5,68,NA,64,45,100,,0,1,1/1/18,NA,44.9,462.4,6/22/18,736,20,72,NA,132,69,NA,Diameter and height plateau,0,1,39.47564913,465.5348111,0.62836,719.9,-28.78,NA,1/14/19,942,23,136,NA,95,115,NA,,0,1,7/16/19,1125,30.85,206,NA,145,188,NA,,0,1,28.10739998,448.1757025,0.77953,1136.96,-28.9,7/16/19,,235.8,28.5,126,0,NA,NA,390.2560976,1165,NA,1,,0.000474375,0.000688618,0.031631165,0.06893305,0.122229209,0.405400598
